Weapon,Developed,Used By,Military Purpose,Type of Tech,Repurpose (Potential/Actual),Reference,Link,Source,URL,SourceType
Lattice,2025,"US, Anduril","""Lattice accelerates complex kill chains by orchestrating machine-to-machine tasks at scales and speeds beyond human capacity""; ""provides a way to link up and control different robots, sensors and other military equipment, a kind of operating system for war""; combines with company's sensor towers, drones, cruise missiles","VR interface, computer vision, edge computing, natural language processing, autonomous data processing and analysis, ""detect, track, and classify""",US Customs and Border Patrol,[@anduril],<a  target='_blank' rel='noopener noreferrer' href='https://www.anduril.com/article/anduril-s-lattice-a-trusted-dual-use-commercial-and-military-platform-for-public-safety-security/'>Anduril</a>,Anduril,https://www.anduril.com/article/anduril-s-lattice-a-trusted-dual-use-commercial-and-military-platform-for-public-safety-security/,"Corporate, Press"
Large Geospatial Models,2025,Niantic Labs,(proposed),Large generative model combined with 3D photogrammetry of public spaces for enhanced/predictive mapping capacities,Pokémon Go,"[@maibergPokemonGoPlayers2024, @maibergPokemonGoData2024]",<a  target='_blank' rel='noopener noreferrer' href='https://www.404media.co/pokemon-go-data-adding-amplitude-to-war-is-obviously-an-issue-niantic-exec-says/'>404 Media</a>,404 Media,https://www.404media.co/pokemon-go-data-adding-amplitude-to-war-is-obviously-an-issue-niantic-exec-says/,Press
Polygraph+,2024,"US, Presage, Altec","Credibility Assessment, updated polygraph, physiological tracking, biofeedback, AI analysis ","""standard consumer grade cameras for medical assessment"" ""research and clinical technologies that monitor biosignals""","Interrogation, job interviews, ""vetting new hires, evaluating existing DoD personnel for access to classified information, assisting in determining source credibility, and supporting criminal investigations""",[@DoDDIUAnnounce],<a  target='_blank' rel='noopener noreferrer' href='https://www.diu.mil/latest/department-of-defense-defense-innovation-unit-announce-polygraph-effort-to'>DIU</a>,DIU,https://www.diu.mil/latest/department-of-defense-defense-innovation-unit-announce-polygraph-effort-to,Government
Lavender,2023,Israel,"Creates kill lists. Ranks each person from 1-100 for their similarity to pre-existing targets, based on data found in WhatsApp groups, mobile phones, location targeting, network surveillance, face recognition, and other tracking techniques. collects ""Visual information, cellular information, social media connections, battlefield information, phone contacts, photos. [...and] over time the machine will come to identify features on its own""","Ranking, classification, prediction, text analysis, image analysis","Works on similar principles to recommender systems: If you liked this reel, or behaved this way online, you are most like these other internet/mobile users. Uses the hypersurveillance of vast cyber infrastructure to connect information that may not represent ""likeness."" Also entangled with text/image analysis",[@abrahamLavenderAIMachine2024],<a  target='_blank' rel='noopener noreferrer' href='https://www.972mag.com/lavender-ai-israeli-army-gaza/'>972 Mag</a>,972 Mag,https://www.972mag.com/lavender-ai-israeli-army-gaza/,Press
Where's Daddy,2023,Israel,Determines when people are at home with their families in order to destroy them and their homes,"Geolocation, computer vision (object detection), signal tracking","Package delivery, advertising, legal preceedings",[@abrahamLavenderAIMachine2024],<a  target='_blank' rel='noopener noreferrer' href=''>972 Mag</a>,972 Mag,https://www.972mag.com/lavender-ai-israeli-army-gaza/,Press
Legion X,2022,"Israel, Elbit Systems","Platform for identifying and targeting people carrying weapons or wearing uniforms, for controlling autonomous drone swarms, ""coordinated strike after human confirmation"" ","Network, object identification, geolocation, weapon, pose estimation","Security, identify people in crowds, in shops",[@LegionXAutonomousNetworked],<a  target='_blank' rel='noopener noreferrer' href=' https://elbitsystems.com/product/legion-x/'>Elbit Systems</a>,Elbit Systems, https://elbitsystems.com/product/legion-x/,Corporate
Artificial Intelligence Platform (AIP),2022,Palantir,"""Artificial Intelligence Platform, which allows for the integration of large language models into the company's military products"" ""An Army of AI Agents that do what I say for me""","Large language model, natural language processing, +","Supply chain management, contracts, infrastructure grid, ""LMNotebook"" dashboards",[@palantirPalantirAIPDefense2023],<a  target='_blank' rel='noopener noreferrer' href='https://www.palantir.com'>Palantir</a>,Palantir,https://www.palantir.com,"Corporate, Tenders, Video"
MetaConstellation,2022,"Ukraine, Palantir, USA","""relies on intelligence gathered on enemy troop positions by commercial satellites, heat sensors and reconnaissance drones as well as spies working behind enemy lines and ordinary Ukrainians pin-pointing the locations of Russian troops on the country’s E-Enemy app. The software uses AI to transform the data into a map highlighting the probable locations of Russian artillery, tanks and troops. A Ukrainian soldier using a tablet device is given a list of coordinates and can then direct their fire.  The technology also “learns” from previous strikes, meaning that it is constantly getting better at identifying and locating material.""","Prediction, object detection, ""process imagery, detect, and geolocate objects, and determine any movement""","""monitor locations across the globe for indications of competitor activities""",[@gryllsUkraineOutflankingRussia2022],<a  target='_blank' rel='noopener noreferrer' href='https://www.palantir.com/assets/xrfr7uokpv1b/1Fw2bFxYXmu3RWX7FvssB9/e64d19b6f042bda3d2a61e4fc43ea6ec/TheTimes.pdf'>Palantir</a>,Palantir,https://www.palantir.com/assets/xrfr7uokpv1b/1Fw2bFxYXmu3RWX7FvssB9/e64d19b6f042bda3d2a61e4fc43ea6ec/TheTimes.pdf,"Corporate, Video"
Foundry,2022,"Palantir, USA",Data tools likely supporting Gotham and Palantir's other defense products,"""industry agnostic"" tools to create data structures and algorithms for combining and managing large amounts of information, with tools to perform data analysis and create applications. ","Contracted by US Immigration and Customs Enforcement and other US government agencies to track migration and financial records, and also by UK NHS agencies to track pandemic health records",[@PalantirFoundryDocumentation],<a  target='_blank' rel='noopener noreferrer' href='https://www.palantir.com'>Palantir</a>,Palantir,https://www.palantir.com,"Academic, Press"
Clearview,2022,"Ukraine, ClearviewAI","Facial recognition to ""identify dead soldiers and to uncover Russian assailants and combat misinformation.""",Facial recognition,Commercial/policing tool then used for warfare,[@fontesUkraineLivingLab23],<a  target='_blank' rel='noopener noreferrer' href='https://www.nationaldefensemagazine.org/articles/2023/3/24/ukraine-a-living-lab-for-ai-warfare'>National Defense Magazine</a>,National Defense Magazine,https://www.nationaldefensemagazine.org/articles/2023/3/24/ukraine-a-living-lab-for-ai-warfare,"Corporate, Video"
